Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470u,CP_Elec_8x10,140.5,-122.5,180.0,top
C10,20p,C_0603_1608Metric,142.7,-93.975,-90.0,top
C11,20p,C_0603_1608Metric,142.7,-87.525,-90.0,top
C12,100n,C_0805_2012Metric,112.385,-85.25,90.0,top
C13,22u,C_0805_2012Metric,107.625,-101.25,180.0,top
C14,10u,C_0603_1608Metric,118.32,-101.5,180.0,top
C15,10u,C_0603_1608Metric,117.96,-86.225,180.0,top
C16,20p,C_0603_1608Metric,111.46,-101.5,180.0,top
C17,20p,C_0603_1608Metric,114.58,-101.5,180.0,top
C18,100n,C_0805_2012Metric,131.05,-116.0,0.0,top
C19,100n,C_0805_2012Metric,131.05,-121.0,0.0,top
C2,100n,C_0805_2012Metric,147.0,-126.0,0.0,top
C3,470u,CP_Elec_8x10,140.5,-102.0,180.0,top
C4,100n,C_0805_2012Metric,148.0,-104.2,-90.0,top
C5,100n,C_0805_2012Metric,138.65,-93.5,0.0,top
C6,100n,C_0805_2012Metric,138.65,-95.6,0.0,top
C7,100n,C_0805_2012Metric,125.65,-97.9,180.0,top
C8,100n,C_0805_2012Metric,127.05,-83.6,180.0,top
C9,100n,C_0805_2012Metric,138.65,-88.0,0.0,top
D1,SS22-SMA,D_SMA,157.55,-114.375,-90.0,top
J1,POWER,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,152.55,-122.65,90.0,top
J5,RJ45_Hanrun_HR911105A_Horizontal,RJ45_Hanrun_HR911105A_Horizontal,110.9,-118.085,-90.0,top
L1,33u,L_7.3x7.3_H4.5,154.5,-102.6,180.0,top
L2,10u,L_1206_3216Metric,131.7,-113.395,180.0,top
R1,220,R_0805_2012Metric,148.0,-100.0875,90.0,top
R10,49.9,R_0805_2012Metric,126.3375,-113.645,180.0,top
R11,49.9,R_0805_2012Metric,126.3375,-116.0,180.0,top
R12,49.9,R_0805_2012Metric,126.3375,-121.0,180.0,top
R13,49.9,R_0805_2012Metric,126.325,-123.5,180.0,top
R2,220,R_0805_2012Metric,154.4,-90.1225,90.0,top
R3,220,R_0805_2012Metric,154.4,-84.6725,90.0,top
R4,10K,R_0805_2012Metric,108.575,-85.275,-90.0,top
R5,1K,R_0805_2012Metric,141.0,-77.9125,-90.0,top
R6,10K,R_0805_2012Metric,137.5,-77.9125,90.0,top
R7,220,R_0805_2012Metric,104.5,-105.6,-90.0,top
R8,220,R_0805_2012Metric,102.0,-105.6,-90.0,top
R9,2.7k,R_0805_2012Metric,103.1375,-86.005,0.0,top
S1,NRST,SW_TS-1187A-B-A-B,114.0,-78.875,0.0,top
S2,BOOT0,SW_TS-1187A-B-A-B,148.0,-78.875,0.0,top
U1,LM2596S-3.3,TO-263-5_TabPin3,144.45,-112.225,180.0,top
U2,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,130.75,-90.75,180.0,top
U3,ENC28J60x-SO,SOIC-28W_7.5x17.9mm_P1.27mm,110.48,-93.62,-90.0,top
Y1,8M,Crystal_SMD_HC49-SD,146.4,-90.75,-90.0,top
Y2,25M,Crystal_SMD_HC49-SD,113.0,-105.5,180.0,top
